Sr. No.,State/UT Name,No of well analysed,0 to 2 (mbgl) No.,0 to 2 (mbgl) %,2 to 5 (mbgl) No.,2 to 5 (mbgl) %,5 to 10 (mbgl) No.,5 to 10 (mbgl) %,10 to 20 (mbgl) No.,10 to 20 (mbgl) %,20 to 40 (mbgl) No.,20 to 40 (mbgl) %,> 40 (mbgl) No.,> 40 (mbgl) %
1,Andhra Pradesh,514,31,6.0,102,19.8,163,31.7,154,30.0,45,8.8,19,3.7
2,Arunachal Pradesh,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,Assam,40,14,35.0,18,45.0,7,17.5,0,0.0,1,2.5,0,0.0
4,Bihar,59,7,11.9,20,33.9,20,33.9,12,20.3,0,0.0,0,0.0
5,Chhattisgarh,133,13,9.8,37,27.8,37,27.8,37,27.8,8,6.0,1,0.8
6,Goa,45,10,22.2,15,33.3,8,17.8,10,22.2,2,4.4,0,0.0
7,Gujarat,214,13,6.1,32,15.0,22,10.3,24,11.2,30,14.0,93,43.5
8,Haryana,102,4,3.9,12,11.8,10,9.8,26,25.5,29,28.4,21,20.6
9,Jharkhand,89,10,11.2,35,39.3,28,31.5,13,14.6,3,3.4,0,0.0
10,Karnataka,862,41,4.8,172,20.0,263,30.5,256,29.7,100,11.6,30,3.5
11,Kerala,123,23,18.7,42,34.1,42,34.1,14,11.4,2,1.6,0,0.0
12,Madhya Pradesh,261,21,8.0,51,19.5,74,28.4,74,28.4,27,10.3,14,5.4
13,Maharashtra,148,11,7.4,37,25.0,40,27.0,31,20.9,16,10.8,13,8.8
14,Meghalaya,8,1,12.5,2,25.0,1,12.5,0,0.0,3,37.5,1,12.5
15,Odisha,225,61,27.1,73,32.4,50,22.2,30,13.3,10,4.4,1,0.4
16,Punjab,127,4,3.1,9,7.1,13,10.2,26,20.5,50,39.4,25,19.7
17,Tamil Nadu,310,12,3.9,53,17.1,98,31.6,58,18.7,46,14.8,43,13.9
18,Telangana,838,165,19.7,259,30.9,273,32.6,107,12.8,28,3.3,6,0.7
19,Tripura,8,0,0.0,2,25.0,2,25.0,2,25.0,2,25.0,0,0.0
20,Uttar Pradesh,103,16,15.5,37,35.9,21,20.4,16,15.5,13,12.6,0,0.0
21,Uttarakhand,4,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,3,75.0
22,West Bengal,917,27,2.9,170,18.5,297,32.4,342,37.3,81,8.8,0,0.0
23,Chandigarh,11,0,0.0,1,9.1,0,0.0,3,27.3,3,27.3,4,36.4
24,The Dadra And Nagar Haveli And Daman And Diu,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
25,Delhi,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
26,Puducherry,7,0,0.0,1,14.3,0,0.0,2,28.6,4,57.1,0,0.0
,Total,5152,486,9.4,1181,22.9,1470,28.5,1237,24.0,504,9.8,274,5.3
