Sr. No.,State/UT Name,No of well analysed,0 to 2 (mbgl) No.,0 to 2 (mbgl) %,2 to 5 (mbgl) No.,2 to 5 (mbgl) %,5 to 10 (mbgl) No.,5 to 10 (mbgl) %,10 to 20 (mbgl) No.,10 to 20 (mbgl) %,20 to 40 (mbgl) No.,20 to 40 (mbgl) %,> 40 (mbgl) No.,> 40 (mbgl) %
1,Andhra Pradesh,507,19,3.7,110,21.7,175,34.5,143,28.2,38,7.5,22,4.3
2,Arunachal Pradesh,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
3,Assam,40,10,25.0,20,50.0,9,22.5,0,0.0,1,2.5,0,0.0
4,Bihar,58,3,5.2,23,39.7,21,36.2,11,19.0,0,0.0,0,0.0
5,Chhattisgarh,132,2,1.5,35,26.5,37,28.0,46,34.8,8,6.1,4,3.0
6,Goa,46,8,17.4,16,34.8,9,19.6,10,21.7,3,6.5,0,0.0
7,Gujarat,223,10,4.5,21,9.4,27,12.1,23,10.3,37,16.6,105,47.1
8,Haryana,179,4,2.2,16,8.9,19,10.6,36,20.1,62,34.6,42,23.5
9,Jharkhand,77,3,3.9,24,31.2,28,36.4,16,20.8,6,7.8,0,0.0
10,Karnataka,821,45,5.5,151,18.4,237,28.9,249,30.3,118,14.4,21,2.6
11,Kerala,139,29,20.9,42,30.2,49,35.3,16,11.5,3,2.2,0,0.0
12,Madhya Pradesh,227,11,4.8,43,18.9,65,28.6,61,26.9,33,14.5,14,6.2
13,Maharashtra,147,7,4.8,34,23.1,47,32.0,33,22.4,12,8.2,14,9.5
14,Meghalaya,9,0,0.0,3,33.3,2,22.2,0,0.0,3,33.3,1,11.1
15,Odisha,229,27,11.8,92,40.2,68,29.7,36,15.7,6,2.6,0,0.0
16,Punjab,137,7,5.1,9,6.6,9,6.6,31,22.6,56,40.9,25,18.2
17,Sikkim,4,0,0.0,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0
18,Tamil Nadu,299,28,9.4,70,23.4,79,26.4,49,16.4,38,12.7,35,11.7
19,Telangana,844,71,8.4,260,30.8,300,35.5,169,20.0,37,4.4,7,0.8
20,Tripura,10,3,30.0,2,20.0,2,20.0,2,20.0,1,10.0,0,0.0
21,Uttar Pradesh,114,12,10.5,40,35.1,31,27.2,20,17.5,11,9.6,0,0.0
22,Uttarakhand,11,0,0.0,4,36.4,2,18.2,2,18.2,0,0.0,3,27.3
23,West Bengal,920,11,1.2,230,25.0,270,29.3,333,36.2,76,8.3,0,0.0
24,Andaman And Nicobar Islands,2,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
25,Chandigarh,12,0,0.0,1,8.3,0,0.0,3,25.0,3,25.0,5,41.7
26,The Dadra And Nagar Haveli And Daman And Diu,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
27,Delhi,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
28,Puducherry,7,0,0.0,1,14.3,0,0.0,2,28.6,4,57.1,0,0.0
,Total,5197,310,6.0,1250,24.1,1488,28.6,1293,24.9,558,10.7,298,5.7
