Sr. No.,State/UT Name,No of well analysed,0 to 2 (mbgl) No.,0 to 2 (mbgl) %,2 to 5 (mbgl) No.,2 to 5 (mbgl) %,5 to 10 (mbgl) No.,5 to 10 (mbgl) %,10 to 20 (mbgl) No.,10 to 20 (mbgl) %,20 to 40 (mbgl) No.,20 to 40 (mbgl) %,> 40 (mbgl) No.,> 40 (mbgl) %
1,Andhra Pradesh,508,29,5.7,104,20.5,190,37.4,122,24.0,49,9.6,14,2.8
2,Arunachal Pradesh,2,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
3,Assam,41,6,14.6,22,53.7,11,26.8,1,2.4,1,2.4,0,0.0
4,Bihar,67,0,0.0,12,17.9,38,56.7,17,25.4,0,0.0,0,0.0
5,Chhattisgarh,173,1,0.6,23,13.3,34,19.7,71,41.0,37,21.4,7,4.0
6,Goa,50,2,4.0,11,22.0,17,34.0,15,30.0,5,10.0,0,0.0
7,Gujarat,146,0,0.0,14,9.6,26,17.8,24,16.4,28,19.2,54,37.0
8,Haryana,208,4,1.9,17,8.2,26,12.5,39,18.8,73,35.1,49,23.6
9,Jharkhand,83,0,0.0,5,6.0,46,55.4,25,30.1,6,7.2,1,1.2
10,Karnataka,848,35,4.1,152,17.9,243,28.7,279,32.9,109,12.9,30,3.5
11,Kerala,43,4,9.3,11,25.6,13,30.2,14,32.6,1,2.3,0,0.0
12,Madhya Pradesh,248,4,1.6,9,3.6,44,17.7,101,40.7,58,23.4,32,12.9
13,Maharashtra,124,1,0.8,12,9.7,44,35.5,33,26.6,16,12.9,18,14.5
14,Meghalaya,10,0,0.0,3,30.0,2,20.0,1,10.0,3,30.0,1,10.0
15,Odisha,224,11,4.9,46,20.5,103,46.0,55,24.6,6,2.7,3,1.3
16,Punjab,139,7,5.0,8,5.8,15,10.8,27,19.4,65,46.8,17,12.2
17,Sikkim,4,0,0.0,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0
18,Tamil Nadu,337,10,3.0,78,23.1,113,33.5,55,16.3,44,13.1,37,11.0
19,Telangana,851,44,5.2,228,26.8,305,35.8,205,24.1,52,6.1,17,2.0
20,Tripura,6,0,0.0,0,0.0,0,0.0,5,83.3,1,16.7,0,0.0
21,Uttar Pradesh,98,2,2.0,22,22.4,36,36.7,24,24.5,14,14.3,0,0.0
22,Uttarakhand,12,0,0.0,1,8.3,4,33.3,2,16.7,2,16.7,3,25.0
23,West Bengal,811,8,1.0,75,9.2,314,38.7,284,35.0,130,16.0,0,0.0
24,Andaman And Nicobar Islands,2,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0
25,Chandigarh,10,0,0.0,1,10.0,0,0.0,2,20.0,4,40.0,3,30.0
26,Delhi,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0
27,Puducherry,5,0,0.0,0,0.0,0,0.0,2,40.0,3,60.0,0,0.0
,Total,5052,168,3.3,858,17.0,1626,32.2,1406,27.8,708,14.0,286,5.7
