Agency_Name,State_Name,District_Name,Tahsil_Name,Station_Name,Latitude,Longitude,Station_Type,Station_Status
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,H.M.PADU,VATICHERLA,15.461,79.3716,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,KANIGIRI,GURVAJIPETA,15.2347,79.4,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,KOMAROLE,ALLINAGARAM,15.6483,79.1086,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,KONAKANAMITLA,KONAKANAMITLA,15.6467,79.4949,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,KOTHAPATNAM,PADARTHI (MOTHUMALA),15.481,80.1868,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,MARKAPURAM,GAJJALAKONDA,15.7423,79.3956,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,N.G.PADU,NIDAMANURU,15.652,80.069,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,ONGOLE,YERAJERLA,15.4529,80.0075,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,P.C.PALLI,POTHAVARAM,15.3069,79.6264,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,CHINAGANJAM,PEDAGANJAM,15.6431,80.2176,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,PEDDARAVEEDU,THOKAPALLI,15.8806,79.295,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,PAMURU,EAST KODIGUDLAPADU,15.0617,79.3859,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,PONNALURU,BOGANAMPADU,15.3119,79.6854,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,PULLALACHERUVU,KALAVAKUNTA,16.0948,79.4018,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,PULLALACHERUVU,MARRIVEMULA,16.2365,79.5574,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,SANTHAMAGULUR,ELUCHURU,16.0792,79.9354,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,TARLUPADU,TARLUPADU,15.6557,79.2288,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,DUPADU TRIPURANTHAKAM,15.746,78.0129,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,GANAPAVARAM,16.0372,79.4771,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,MITTAPALEM,16.0185,79.4037,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,V.V.PALEM,EAST POLINENIPALEM,15.1752,79.777,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,YERRAGONDAPALEM,BOYALAPALLI,15.9669,79.3213,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,ETCHERLA,DHARMAVARAM,18.2148,83.8998,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,KOTABOMMALI,KOTTAPALLI,18.5713,84.1311,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,LAVERU,KOTHAKUNKAM,18.3138,83.7105,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,NARASANNAPETA,NARASANNAPETA,18.4201,84.0469,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,PALAKONDA,RB RAJPETA,18.6569,83.693,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,PALASA,RANGOI,18.818,84.4855,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,PONDURU,TADIVALASA,18.3772,83.83,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,RAJAM,POGIRI,18.4119,83.6944,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,RANASTHALAM,KOVVADAMACHILESAM,18.1155,83.7161,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,RANASTHALAM,PATHARLAPALLI,18.1414,83.7045,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,REGIDI,CINAASIRLAM,18.5155,83.6883,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,SEETHAMPETA,KUSIMI,18.6119,83.8263,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,SRIKAKULAM,SOMPETA,GOLLAVURU,18.8777,84.5783,GROUND,INSTALLED
